노선,시·종점,시간,승차,주중 평균배차시간,노선운행시간,시간별 포화도,왕복운행대수,증차운행대수,증차대수,증차후배차시간,증차후예상포화도,포화도감소율
  20-1,정왕역환승센터-부곡중학교,07시~08시,761,15.0,78,183.0,10.4,13.52,3.119999999999999,11.54,140.72,42.28
  23,월곶역-본오동차고지,18시~19시,1072,12.5,99,169.0,15.84,20.59,4.75,9.62,130.16,38.84
  39,매화초등학교-개봉역,07시~08시,386,20.5,45,165.0,5.85,7.6,1.75,15.79,126.97,38.03
  11,광명돔경륜장.광남문-안양역,08시~09시,262,32.5,65,164.0,4.0,5.2,1.2000000000000002,25.0,125.96,38.040000000000006
  12,삼미시장-김포공항국내선(9번홈),08시~09시,585,15.0,67,164.0,8.93,11.61,2.6799999999999997,11.54,125.97,38.03
  2(광명),스타필드시티부천-안양역,08시~09시,1409,8.0,90,157.0,22.5,29.25,6.75,6.15,120.43,36.56999999999999
  23,월곶역-본오동차고지,08시~09시,993,12.5,99,157.0,15.84,20.59,4.75,9.62,120.57,36.43000000000001
  1(광명),거모동-개봉역,07시~08시,1533,8.5,108,151.0,25.41,33.03,7.620000000000001,6.54,116.03,34.97
  23,월곶역-본오동차고지,07시~08시,944,12.5,99,149.0,15.84,20.59,4.75,9.62,114.62,34.379999999999995
  62,본오동종점-한라비발디1차,18시~19시,1585,8.0,108,147.0,27.0,35.1,8.100000000000001,6.15,112.89,34.11
  62,본오동종점-한라비발디1차,17시~18시,1577,8.0,108,146.0,27.0,35.1,8.100000000000001,6.15,112.32,33.68000000000001
  20-1,정왕역환승센터-부곡중학교,08시~09시,608,15.0,78,146.0,10.4,13.52,3.119999999999999,11.54,112.43,33.56999999999999
  66,부인초교-용못내공원.옥길동종점,18시~19시,718,12.0,74,146.0,12.33,16.03,3.700000000000001,9.23,111.98,34.019999999999996
  12,삼미시장-김포공항국내선(9번홈),07시~08시,515,15.0,67,144.0,8.93,11.61,2.6799999999999997,11.54,110.9,33.099999999999994
  62,본오동종점-한라비발디1차,08시~09시,1551,8.0,108,144.0,27.0,35.1,8.100000000000001,6.15,110.47,33.53
  20-1,정왕역환승센터-부곡중학교,17시~18시,594,15.0,78,143.0,10.4,13.52,3.119999999999999,11.54,109.84,33.16
  20-1,정왕역환승센터-부곡중학교,18시~19시,591,15.0,78,142.0,10.4,13.52,3.119999999999999,11.54,109.28,32.72
  23,월곶역-본오동차고지,17시~18시,895,12.5,99,141.0,15.84,20.59,4.75,9.62,108.67,32.33
  1(광명),거모동-개봉역,18시~19시,1371,8.5,108,135.0,25.41,33.03,7.620000000000001,6.54,103.77,31.230000000000004
  5602,이마트-구로디지털단지역환승센터(1번승강장),18시~19시,849,11.5,92,133.0,16.0,20.8,4.800000000000001,8.85,102.04,30.959999999999994
  66,부인초교-용못내공원.옥길동종점,08시~09시,653,12.0,74,132.0,12.33,16.03,3.700000000000001,9.23,101.84,30.159999999999997
  23-2,소사공영차고지-라일락마을어린이공원,08시~09시,851,8.5,69,131.0,16.24,21.11,4.870000000000001,6.54,100.78,30.22
  39,매화초등학교-개봉역,08시~09시,299,20.5,45,128.0,5.85,7.6,1.75,15.79,98.36,29.64
  76,본오교회앞-동보아파트후문.군자교회,07시~08시,96,90.0,86,126.0,1.91,2.48,0.5700000000000001,69.35,96.77,29.230000000000004
  50,안산해솔초등학교-KTX광명역1번출구,07시~08시,108,60.0,65,125.0,2.17,2.82,0.6499999999999999,46.1,95.74,29.260000000000005
  1(광명),거모동-개봉역,08시~09시,1271,8.5,108,125.0,25.41,33.03,7.620000000000001,6.54,96.2,28.799999999999997
  39,매화초등학교-개봉역,18시~19시,289,20.5,45,123.0,5.85,7.6,1.75,15.79,95.07,27.930000000000007
  5602,이마트-구로디지털단지역환승센터(1번승강장),07시~08시,780,11.5,92,122.0,16.0,20.8,4.800000000000001,8.85,93.75,28.25
  23-2,소사공영차고지-라일락마을어린이공원,18시~19시,789,8.5,69,121.0,16.24,21.11,4.870000000000001,6.54,93.44,27.560000000000002
  12,삼미시장-김포공항국내선(9번홈),18시~19시,428,15.0,67,120.0,8.93,11.61,2.6799999999999997,11.54,92.16,27.840000000000003
  1(광명),거모동-개봉역,17시~18시,1212,8.5,108,119.0,25.41,33.03,7.620000000000001,6.54,91.73,27.269999999999996
  23,월곶역-본오동차고지,16시~17시,757,12.5,99,119.0,15.84,20.59,4.75,9.62,91.91,27.090000000000003
  2(광명),스타필드시티부천-안양역,07시~08시,1073,8.0,90,119.0,22.5,29.25,6.75,6.15,91.71,27.290000000000006
  81,목감호수품애.중흥S클래스-안양역,07시~08시,437,13.0,39,118.0,9.23,12.0,2.7699999999999996,10.0,91.04,26.959999999999994
  5602,이마트-구로디지털단지역환승센터(1번승강장),08시~09시,754,11.5,92,118.0,16.0,20.8,4.800000000000001,8.85,90.62,27.379999999999995
  20-1,정왕역환승센터-부곡중학교,19시~20시,483,15.0,78,116.0,10.4,13.42,3.0199999999999996,11.62,89.98,26.019999999999996
  11-3,마린월드-KTX광명역1번출구,07시~08시,154,37.5,63,115.0,3.36,4.28,0.9200000000000004,29.44,89.95,25.049999999999997
  2(광명),스타필드시티부천-안양역,18시~19시,1038,8.0,90,115.0,22.5,28.83,6.329999999999998,6.24,90.01,24.989999999999995
  39,매화초등학교-개봉역,17시~18시,266,20.5,45,114.0,5.85,7.39,1.54,16.24,89.99,24.010000000000005
  50,안산해솔초등학교-KTX광명역1번출구,08시~09시,99,60.0,65,114.0,2.17,2.75,0.5800000000000001,47.27,90.0,24.0
  62,본오동종점-한라비발디1차,07시~08시,1210,8.0,108,112.0,27.0,33.61,6.609999999999999,6.43,90.0,22.0
  32,경원여객안양차고지-풍림2단지.소래포구입구,08시~09시,308,25.0,86,112.0,6.88,8.56,1.6800000000000006,20.09,89.95,22.049999999999997
  23,월곶역-본오동차고지,19시~20시,710,12.5,99,112.0,15.84,19.72,3.879999999999999,10.04,90.01,21.989999999999995
  12,삼미시장-김포공항국내선(9번홈),17시~18시,400,15.0,67,112.0,8.93,11.11,2.1799999999999997,12.06,90.01,21.989999999999995
  61,화진금속공업-부천터미널소풍,18시~19시,1063,10.0,120,111.0,24.0,29.53,5.530000000000001,8.13,89.99,21.010000000000005
  63,오이도차고지-은계초등학교.사랑스러운교회,08시~09시,462,15.0,78,111.0,10.4,12.83,2.4299999999999997,12.16,90.02,20.980000000000004
  66,부인초교-용못내공원.옥길동종점,17시~18시,544,12.0,74,110.0,12.33,15.11,2.7799999999999994,9.79,90.01,19.989999999999995
  23-2,소사공영차고지-라일락마을어린이공원,07시~08시,703,8.5,69,108.0,16.24,19.53,3.2900000000000027,7.07,89.99,18.010000000000005
  62,본오동종점-한라비발디1차,16시~17시,1164,8.0,108,108.0,27.0,32.33,5.329999999999998,6.68,90.01,17.989999999999995
  11-3,마린월드-KTX광명역1번출구,17시~18시,145,37.5,63,108.0,3.36,4.03,0.6700000000000004,31.27,89.95,18.049999999999997
  11,광명돔경륜장.광남문-안양역,07시~08시,173,32.5,65,108.0,4.0,4.81,0.8099999999999996,27.03,89.92,18.08
  530,능곡공영차고지-여의도환승센터(1번승강장),08시~09시,422,20.0,99,107.0,9.9,11.72,1.8200000000000003,16.89,90.02,16.980000000000004
  20-1,정왕역환승센터-부곡중학교,06시~07시,439,15.0,78,106.0,10.4,12.19,1.7899999999999991,12.8,90.03,15.969999999999999
  61,화진금속공업-부천터미널소풍,08시~09시,1022,10.0,120,106.0,24.0,28.39,4.390000000000001,8.45,90.0,16.0
  98,오이도차고지-수변공원휴게소,07시~08시,320,27.5,104,106.0,7.56,8.89,1.330000000000001,23.4,89.99,16.010000000000005
  5602,이마트-구로디지털단지역환승센터(1번승강장),17시~18시,680,11.5,92,106.0,16.0,18.89,2.8900000000000006,9.74,89.99,16.010000000000005
  66,부인초교-용못내공원.옥길동종점,16시~17시,513,12.0,74,104.0,12.33,14.25,1.92,10.39,90.0,14.0
  35,경원여객안양차고지-중앙역앞,07시~08시,42,180.0,92,103.0,1.02,1.17,0.1499999999999999,157.26,89.74,13.260000000000005
  50,안산해솔초등학교-KTX광명역1번출구,18시~19시,88,60.0,65,102.0,2.17,2.44,0.27,53.28,90.16,11.840000000000003
  1(광명),거모동-개봉역,16시~17시,1036,8.5,108,102.0,25.41,28.78,3.370000000000001,7.51,89.99,12.010000000000005
  25,오이도차고지-정왕역환승센터,07시~08시,98,50.0,32,102.0,2.4,2.72,0.3200000000000003,44.12,90.07,11.930000000000007
  2(광명),스타필드시티부천-안양역,17시~18시,920,8.0,90,102.0,22.5,25.56,3.0599999999999987,7.04,89.98,12.019999999999996
  23-2,소사공영차고지-라일락마을어린이공원,16시~17시,653,8.5,69,101.0,16.24,18.14,1.9000000000000021,7.61,89.99,11.010000000000005
  98,오이도차고지-수변공원휴게소,08시~09시,306,27.5,104,101.0,7.56,8.5,0.9400000000000004,24.47,90.0,11.0
  23,월곶역-본오동차고지,15시~16시,637,12.5,99,101.0,15.84,17.69,1.8500000000000014,11.19,90.02,10.980000000000004
  20,경원여객-시흥시청후문.종합일자리센터,08시~09시,69,70.0,40,101.0,1.71,1.92,0.20999999999999996,62.5,89.84,11.159999999999997
  81,목감호수품애.중흥S클래스-안양역,08시~09시,368,13.0,39,100.0,9.23,10.22,0.9900000000000002,11.74,90.02,9.980000000000004
  55,본오동종점-오이도차고지,18시~19시,824,9.0,93,100.0,20.67,22.89,2.219999999999999,8.13,90.0,10.0
  32,경원여객안양차고지-풍림2단지.소래포구입구,18시~19시,275,25.0,86,100.0,6.88,7.64,0.7599999999999998,22.51,89.99,10.010000000000005
  20-1,정왕역환승센터-부곡중학교,16시~17시,414,15.0,78,100.0,10.4,11.5,1.0999999999999996,13.57,90.0,10.0
