,routeName,routeId,routeType,routeTypeName
0,11,213000008,13,일반형시내버스
1,31-7,216000019,13,일반형시내버스
2,32,217000009,13,일반형시내버스
3,35,217000010,13,일반형시내버스
4,350,217000012,13,일반형시내버스
5,50,216000075,13,일반형시내버스
6,81,208000009,13,일반형시내버스
7,30-2,224000014,13,일반형시내버스
10,1,213000006,13,일반형시내버스
12,70,224000059,13,일반형시내버스
13,99-3,224000035,13,일반형시내버스
20,23,224000003,13,일반형시내버스
22,60,224000058,13,일반형시내버스
24,11-A,224000036,15,따복형시내버스
25,11-B,224000037,15,따복형시내버스
26,11-C,224000038,15,따복형시내버스
35,3201,224000056,11,직행좌석형시내버스
36,5200,224000052,11,직행좌석형시내버스
37,12,210000027,13,일반형시내버스
38,15,224000055,13,일반형시내버스
39,2,213000017,13,일반형시내버스
40,27,224000060,13,일반형시내버스
42,30,224000012,13,일반형시내버스
43,5602,216000047,13,일반형시내버스
53,7,224000033,13,일반형시내버스
59,26,224000020,13,일반형시내버스
80,20-1,224000011,13,일반형시내버스
81,25,224000007,13,일반형시내버스
82,26-1,224000027,13,일반형시내버스
84,28,224000021,13,일반형시내버스
85,29,224000022,13,일반형시내버스
92,3200,224000019,11,직행좌석형시내버스
93,13,224000051,13,일반형시내버스
94,31,224000004,13,일반형시내버스
95,31-9,224000005,13,일반형시내버스
96,36,224000030,13,일반형시내버스
97,37,224000045,15,따복형시내버스
98,37-1,224000046,15,따복형시내버스
99,3500,224000054,11,직행좌석형시내버스
109,8851,241006340,43,일반형시외버스
112,39,213000009,13,일반형시내버스
113,530,224000029,13,일반형시내버스
137,11-3,213000014,13,일반형시내버스
168,3300,224000047,11,직행좌석형시내버스
174,5604,224000040,13,일반형시내버스
188,31-3,224000028,13,일반형시내버스
206,63,224000010,13,일반형시내버스
251,301,216000021,12,좌석형시내버스
252,320,217000013,12,좌석형시내버스
269,5609,216000046,11,직행좌석형시내버스
302,34,216000076,13,일반형시내버스
305,737,241006320,43,일반형시외버스
306,7002,241006510,51,리무진형 공항버스
321,62,216000016,13,일반형시내버스
322,99-2,224000034,13,일반형시내버스
348,M6410,216000044,14,광역급행형시내버스
374,20,216000067,13,일반형시내버스
384,5,216000041,13,일반형시내버스
386,76,224000016,13,일반형시내버스
463,21,224000002,13,일반형시내버스
466,55,216000011,13,일반형시내버스
467,98,224000015,13,일반형시내버스
480,61,217000006,13,일반형시내버스
501,3301,224000057,11,직행좌석형시내버스
508,99,217000007,13,일반형시내버스
535,125,216000006,13,일반형시내버스
577,300,216000060,11,직행좌석형시내버스
578,3400,224000050,11,직행좌석형시내버스
580,123,216000007,13,일반형시내버스
662,23-2,210000033,13,일반형시내버스
937,16,224000053,13,일반형시내버스
940,38,216000020,13,일반형시내버스
1058,7000,241006580,51,리무진형 공항버스
1060,7000A,241007165,53,일반형 공항버스
1538,66,210000061,13,일반형시내버스
1667,22,216000004,13,일반형시내버스
1737,700,241006370,43,일반형시외버스
1839,8467,241006360,43,일반형시외버스
2680,97,216000040,13,일반형시내버스
2880,G8808,210000108,11,직행좌석형시내버스
2881,8106,234001237,16,경기외곽순환버스
2882,8906,235000103,16,경기외곽순환버스
3093,7001,241006590,51,리무진형 공항버스
